id,题型,风险,解析重合度,题干,选项,原答案,现答案(参考库),确认答案(待填),参考库解析
19,single,★高风险(解析串台),0.0,在学法用法的实践中，施工企业有时会遇上法规冲突，届时可通过专业咨询服务得到解决，但若能自己通过学习获得解决或理解，则更能提高 （　　） 的效率。,A.企业运营 / B.生产运营 / C.生产劳动 / D.个人能力,B,A,,
34,single,★高风险(解析串台),0.0,下列选项中，不属于安全生产主体责任的特点是 （　　） 。,A.安全生产法定责任是主体责任的底线 / B.安全生产主体责任内涵不断与时俱进 / C.安全生产主体责任地方法规政策概览 / D.安全生产主体责任因企业不同而各有特点,C,D,,2.1.2.3 安全生产主体责任的特点 1.安全生产法定责任是主体责任的底线 2.安全生产主体责任内涵不断与时俱进 3. 安全生产主体责任因行业不同而各有特点 4.安全生产主体责任地方法规政策概览
64,single,★高风险(解析串台),0.0,工程承建企业跨省施工的，工程所在地省级建设主管部门应当在事故发生之日起 （　　） 日内将事故基本情况书面通报颁发管理机关，同时附具企业及有关项目违法违规事实和证明安全生产条件降低的相关询问笔录或其它证据材料。,A.10 / B.15 / C.20 / D.30,D,B,,
96,single,★高风险(解析串台),0.0,下列选项中不是标准特性的是 （　　） 。,A.权威性 / B.强制性 / C.民主性 / D.实用性,C,B,,标准的特性是： 一是权威性。 二是民主性。 三是实用性。 四是科学性。
138,single,★高风险(解析串台),0.0,下列起重机械中，属于特种设备的是 （　　） 。,A.额定起重量0.5t的升降机 / B.额定起重量2t的起重机 / C.起重力矩30t ·m的塔式起重机 / D.生产率200t/h的装卸桥,C,A,,起重机械，是指用于垂直升降或者垂直升降并水平移动重物的机电设备，其范围规定为额定起重量大于或者等于0.5t的升降机；额定起重量大于或者等于3t（或额定起重力矩大于或者等于40t·m的塔式起重机，或生产率大于或者等于300t/h的装卸桥），且提升高度大于或者等于2m的起重机；层数大于或者等于2层的机械式停车设备。
145,single,★高风险(解析串台),0.0,根据《建筑起重机械安全监督管理规定》，施工总承包单位应当履行的安全职责不正确的是 （　　） 。,A.向安装单位提供拟安装设备位置的基础施工资料 / B.审核安装单位、使用单位的资质证书 / C.审核使用单位制定的生产安全事故应急救援预案 / D.审核安装单位制定的防止塔吊相互碰撞的方案,C,D,,
274,single,★高风险(解析串台),0.0,对符合要求的工地进行安全生产标准化竣工确认，并在确认后 （　　） 工作日内向建设单位发放《终止施工安全监督告知书》。,A.3个 / B.5个 / C.7个 / D.10个,C,B,,
292,single,★高风险(解析串台),0.0,根据《上海市建设工程施工安全监督管理办法》第八条第二款规定，施工单位不得安排未接受过安全教育、技术培训并经考核合格的施工人员上岗作业。使用无证人员多于30人或者占施工人员总数25%以上，责令限期改正，并可处以 （　　） 的罚款。,A.3万元以上5万元以下 / B.1万元以上5万元以下 / C.5万元以上10万元以下 / D.2万元以上5万元以下,D,A,,
299,single,★高风险(解析串台),0.0,开挖深度 （　　） m及以上的基坑（槽）的土方开挖、支护、降水工程属于Ⅰ类危险等级。,A.3 / B.5 / C.15 / D.24,B,C,,
314,single,★高风险(解析串台),0.0,以下选项中， （　　） 用于非软土基坑时，基坑深度不宜大于12m；用于淤泥质土基坑时，基坑深度不宜大于6m；不宜用在高水位的碎石土、砂土层中。,A.预应力锚杆复合土钉墙 / B.水泥土桩复合土钉墙 / C.微型桩复合土钉墙 / D.单一土钉墙,C,B,,"水泥土桩复合土钉墙适用于非软土基坑,且基坑深度不宜大于12m"
316,single,★高风险(解析串台),0.0,施工期间土钉墙支护坡顶应按荷载 （　　） 设计要求控制施工荷载。,A.超载值 / B.标准值 / C.组合值 / D.代表值,D,A,,
377,single,★高风险(解析串台),0.0,依据《建筑施工扣件式钢管脚手架安全技术规范》JGJ130，常用密目式安全立网全封闭式单、双排脚手架的设计尺寸表格适用于地面粗糙度为 （　　） 类地区。,A.A / B.B / C.C / D.D,B,C,,地面粗糙度可分为A、B、C、D四类： 一A类指近海海面和海岛、海岸、湖岸及沙漠地区； 一B类指田野、乡村、丛林、丘陵以及房屋比较稀疏的乡镇和城市郊区； 一C类指有密集建筑群的城市市区； —D类指有密集建筑群且房屋较高的城市市区。
390,single,★高风险(解析串台),0.0,下列关于加强型满堂支撑架说法错误的是 （　　） 。,A.在竖向剪刀撑顶部交点平面应设置水平剪刀撑 / B.水平剪刀撑至架体底平面距离与水平剪刀撑间距不宜超过8m / C.剪刀撑宽度应为3m~5m / D.竖向剪刀撑斜杆与地面的倾角应为45°~60°,C,B,,"剪刀撑设置 a）剪刀撑的构造：剪刀撑斜杆的接长宜采用搭接；剪刀撑斜杆应用旋转扣件固定在与之相交的横向水平杆的伸出端或立杆上，旋转扣件中心线至主节点的距离不宜大于150mm。 b）在竖向剪刀撑顶部交点平面应设置水平剪刀撑，水平剪刀撑至架体底平面距离与水平剪刀撑间距不宜超过6m，剪刀撑宽度应为3～5m。 c)竖向剪刀撑斜杆与地面的倾角应为45～60,水平剪刀撑与支架纵（或横）向夹角应为45～60°。 d)满堂支架的可调底座、可调托撑螺杆伸出长度不宜超过300mm，插入立杆内的长度不得小于150mm。"
402,single,★高风险(解析串台),0.0,采用悬挑、密目式安全网全封闭搭设的门式脚手架，搭设高度>60米，则每根连墙件覆盖面积≤ （　　） ㎡。,A.15 / B.22 / C.33 / D.40,C,B,,
404,single,★高风险(解析串台),0.0,门式满堂作业架的搭设高度应 （　　） 。,A.≤36m / B.≤30m / C.≥30m / D.≥36m,B,A,,《建筑施工门式钢管脚手架安全技术标准》
477,single,★高风险(解析串台),0.0,高处作业活动范围与220v带电体的距离应小于 （　　） 。,A.1.7m / B.2.5m / C.4m / D.5m,A,C,,
